Timestamp,Whisker.Barometer1_1,Whisker.Barometer1_2,Whisker.Barometer1_3,Whisker1.Barometer2_1,Whisker1.Barometer2_2,Whisker1.Barometer2_3
128993,114244.609375,149060.953125,89935.5,111519.3046875,137441.59375,96725.0703125
129013,114243.8984375,149067.4375,89936.2890625,111524.34375,137433.546875,96725.828125
129033,114244.609375,149065.578125,89934.34375,111516.46875,137439.84375,96734.3984375
129053,114238.1171875,149072.0625,89931.234375,111516.46875,137438.09375,96733.1328125
129073,114241.0234375,149075.328125,89923.4453125,111516.46875,137442.640625,96725.828125
129093,114238.1171875,149070.203125,89923.4453125,111520.75,137438.09375,96730.3671875
129113,114246.0625,149067.4375,89930.4453125,111517.859375,137442.125,96731.1171875
129133,114240.9921875,149067.4375,89922.65625,111525.0390625,137429.515625,96730.3671875
129153,114243.8984375,149062.8125,89923.4453125,111517.859375,137438.09375,96734.3984375
129173,114254.7109375,149067.890625,89922.65625,111523.5859375,137429,96730.3671875
129193,114245.3203125,149063.265625,89920.7109375,111526.421875,137438.09375,96728.3515625
129213,114243.15625,149065.125,89923.8125,111523.5859375,137435.296875,96733.1328125
129233,114245.3203125,149062.359375,89921.5,111516.46875,137436.34375,96731.875
129253,114247.4765625,149065.578125,89920.7109375,111523.5859375,137439.84375,96733.1328125
129273,114253.296875,149063.265625,89919.5546875,111520,137443.15625,96731.1171875
129293,114236.6640625,149061.859375,89920.7109375,111515.7109375,137444.390625,96736.4140625
129313,114244.609375,149070.65625,89914.8671875,111527.875,137433.546875,96737.171875
129333,114247.4765625,149070.203125,89910.9765625,111520,137431.796875,96741.7109375
129353,114243.15625,149067.4375,89912.921875,111530.015625,137440.375,96742.4609375
129373,114253.2578125,149068.34375,89909.8125,111522.8359375,137436.34375,96729.859375
129393,114248.9375,149072.953125,89903.96875,111532.15625,137437.390625,96737.921875
129413,114243.15625,149067.4375,89910.1875,111529.265625,137440.375,96741.203125
129433,114247.4765625,149066.03125,89911.765625,111525.734375,137437.390625,96739.1875
129453,114249.640625,149067.890625,89912.546875,111510.6796875,137439.140625,96729.859375
129473,114243.859375,149069.75,89916.8125,111521.4453125,137439.140625,96735.90625
129493,114251.8046875,149072.515625,89905.921875,111513.5703125,137442.125,96742.7109375
129513,114248.9375,149077.578125,89902.0234375,111515.7109375,137436.34375,96735.90625
129533,114255.421875,149063.71875,89896.96875,111515.7109375,137442.125,96741.203125
129553,114252.515625,149074.375,89898.1328125,111517.859375,137438.609375,96733.1328125
129573,114258.296875,149075.265625,89894.234375,111538.5859375,137439.140625,96737.921875
129593,114270.5703125,149070.65625,89894.234375,111542.8671875,137436.34375,96739.1875
129613,114262.625,149065.578125,89898.1328125,111547.15625,137438.609375,96739.1875
129633,114264.078125,149066.484375,89887.234375,111552.1328125,137442.640625,96741.953125
129653,114255.421875,149070.65625,89892.2890625,111540.7265625,137444.390625,96743.21875
129673,114251.09375,149077.125,89898.1328125,111532.15625,137444.921875,96741.953125
129693,114247.4765625,149068.78125,89891.1328125,111515.0234375,137439.140625,96741.953125
129713,114241.703125,149075.265625,89896.96875,111498.578125,137443.6875,96748.0078125
129733,114248.1875,149074.828125,89891.1328125,111507.8984375,137438.609375,96741.203125
129753,114243.859375,149072.953125,89890.7578125,111512.875,137443.15625,96748.5078125
129773,114254.6796875,149067.890625,89883.34375,111531.40625,137439.65625,96741.953125
129793,114261.171875,149066.484375,89877.5,111533.546875,137445.4375,96737.921875
129813,114264.7890625,149072.515625,89872.8203125,111550.6875,137441.9375,96741.203125
129833,114277.765625,149077.578125,89875.5546875,111566.4375,137445.4375,96747.25
129853,114273.4375,149068.78125,89876.7109375,111562.15625,137434.0625,96738.6796875
129873,114265.4921875,149068.78125,89874.3984375,111562.09375,137434.59375,96739.9375
129893,114253.96875,149072.953125,89873.609375,111543.5625,137437.390625,96743.21875
129913,114240.2421875,149079.4375,89874.3984375,111534.3046875,137445.4375,96744.7265625
129933,114243.859375,149078.03125,89877.5,111517.1640625,137440.890625,96748.0078125
129953,114233.7578125,149069.234375,89881.3984375,111501.4140625,137440.890625,96752.0390625
129973,114245.3203125,149075.71875,89880.609375,111504.25,137445.4375,96745.9921875
129993,114249.640625,149071.546875,89874.765625,111501.4140625,137443.15625,96750.0234375
130013,114249.609375,149079.4375,89867.3984375,111525.671875,137441.40625,96750.5234375
130033,114264.7890625,149071.546875,89871.6640625,111537.140625,137443.6875,96745.9921875
130053,114271.984375,149071.546875,89865.8203125,111557.109375,137443.15625,96742.7109375
130073,114271.984375,149066.921875,89859.9765625,111557.109375,137449.984375,96742.7109375
130093,114267.65625,149068.78125,89858.8203125,111560.703125,137434.59375,96756.0703125
130113,114259.0078125,149071.09375,89855.71875,111543.5625,137443.15625,96748.0078125
130133,114252.515625,149077.578125,89863.875,111537.828125,137439.140625,96750.0234375
130153,114248.1875,149080.34375,89862.71875,111522.140625,137450.515625,96752.7890625
130173,114251.0625,149071.09375,89865.453125,111520.6953125,137448.234375,96752.7890625
130193,114254.6796875,149086.828125,89858.03125,111515.7109375,137441.40625,96751.28125
130213,114251.0625,149079.890625,89853.7734375,111522.140625,137448.234375,96752.7890625
130233,114264.078125,149069.234375,89859.9765625,111520.6953125,137445.953125,96748.7578125
130253,114259.7109375,149076.171875,89849.0859375,111537.140625,137440.1875,96748.7578125
130273,114267.65625,149080.796875,89856.0859375,111544.2578125,137441.9375,96750.7734375
130293,114268.3671875,149080.796875,89852.984375,111552.1328125,137441.9375,96750.0234375
130313,114267.65625,149082.203125,89851.03125,111557.109375,137444.203125,96748.7578125
130333,114258.296875,149078.9375,89849.0859375,111552.828125,137439.140625,96753.546875
130353,114262.625,149074.3125,89847.9296875,111547.8515625,137446.484375,96751.53125
130373,114250.3515625,149075.71875,89847.140625,111539.28125,137444.203125,96755.5625
130393,114250.3203125,149076.625,89842.4609375,111531.40625,137444.734375,96752.7890625
130413,114255.390625,149071.09375,89843.25,111529.953125,137455.0625,96748.2578125
130433,114256.8046875,149084.515625,89838.1953125,111534.3046875,137449.984375,96752.7890625
130453,114267.65625,149074.3125,89847.140625,111537.828125,137446.484375,96748.7578125
130473,114270.53125,149082.65625,89839.3515625,111536.3828125,137443.15625,96747.5
130493,114266.203125,149085.40625,89834.3046875,111548.546875,137444.203125,96752.7890625
130513,114272.6953125,149080.34375,89834.3046875,111552.828125,137445.953125,96758.0859375
130533,114269.8203125,149076.171875,89839.3515625,111555.6640625,137450.515625,96756.828125
130553,114264.0390625,149078.484375,89840.140625,111561.3984375,137454.53125,96754.3046875
130573,114264.0390625,149075.71875,89839.3515625,111557.8046875,137445.953125,96755.5625
130593,114258.96875,149084,89835.09375,111549.9921875,137445.25,96754.8125
130613,114256.84375,149080.34375,89831.5703125,111543.5,137445.25,96757.578125
130633,114258.96875,149080.796875,89827.3046875,111544.953125,137448.234375,96754.8125
130653,114266.9140625,149074.765625,89825.7265625,111534.2421875,137448.75,96745.484375
130673,114274.1484375,149087.28125,89838.1953125,111539.9140625,137450.515625,96752.7890625
130693,114274.1484375,149082.65625,89833.515625,111542.1171875,137445.953125,96756.828125
130713,114268.3671875,149087.28125,89828.46875,111544.953125,137448.75,96752.7890625
130733,114272.6953125,149084.96875,89827.6796875,111556.359375,137452.78125,96750.2734375
130753,114268.3671875,149080.34375,89827.3046875,111559.2578125,137451.546875,96751.53125
130773,114268.3671875,149077.0625,89825.359375,111568.5234375,137445.25,96752.2890625
130793,114259.7109375,149081.234375,89820.6796875,111570.6640625,137449.28125,96762.875
130813,114268.3671875,149085.40625,89822.625,111556.359375,137450.515625,96759.59375
130833,114266.9140625,149085.40625,89825.359375,111555.6640625,137442.453125,96753.546875
130853,114274.859375,149086.3125,89812.8984375,111552.0703125,137448.75,96751.53125
130873,114271.2734375,149087.71875,89812.5234375,111552.828125,137453.828125,96755.5625
130893,114274.1484375,149087.28125,89810.9453125,111554.96875,137454.34375,96757.578125
130913,114265.4609375,149092.34375,89805.8984375,111542.75,137451.546875,96757.578125
130933,114269.7890625,149077.0625,89803.953125,111554.21875,137445.25,96750.2734375
130953,114264.0390625,149081.6875,89812.8984375,111560.640625,137451.546875,96757.578125
130973,114272.6953125,149088.171875,89809.7890625,111567.828125,137442.984375,96761.609375
130993,114264.75,149076.625,89814.84375,111569.2109375,137448.75,96751.53125
131013,114263.296875,149083.546875,89807.0546875,111568.5234375,137444.734375,96758.3359375
131033,114269.078125,149079.375,89809,111565.6796875,137451.03125,96751.78125
131053,114264.75,149081.234375,89810.9453125,111560.640625,137447,96757.578125
131073,114269.078125,149083.546875,89806.6875,111564.234375,137447,96757.078125
131093,114271.2421875,149087.71875,89800.0625,111557.0546875,137449.28125,96756.3203125
131113,114269.7890625,149085.859375,89793.0625,111557.8046875,137448.75,96746.9921875
131133,114277.734375,149088.171875,89797.328125,111552.765625,137458.375,96751.53125
131153,114274.1171875,149088.625,89800.8515625,111559.953125,137453.828125,96751.0234375
131173,114274.859375,149090.9375,89796.9609375,111547.7890625,137445.78125,96757.578125
131193,114273.40625,149088.625,89794.2265625,111564.9296875,137453.828125,96751.0234375
131213,114268.3671875,149090.484375,89796.9609375,111564.9296875,137449.28125,96755.0546875
131233,114266.171875,149090.484375,89793.0625,111572.109375,137449.28125,96757.578125
131253,114269.078125,149079.828125,89796.9609375,111565.625,137452.078125,96751.0234375
131273,114274.1171875,149084,89798.1171875,111567.765625,137451.546875,96756.3203125
131293,114266.171875,149090.9375,89796.171875,111565.625,137448.046875,96759.59375
131313,114269.7890625,149088.625,89787.2265625,111561.3359375,137448.046875,96756.3203125
131333,114271.953125,149091.890625,89782.546875,111565.6796875,137451.546875,96759.09375
131353,114271.953125,149083.546875,89790.328125,111554.90625,137453.828125,96760.3515625
131373,114273.40625,149085.859375,89784.4921875,111558.5,137447.53125,96758.3359375
131393,114271.2421875,149083.546875,89785.28125,111564.9296875,137449.796875,96759.09375
131413,114267.625,149084,89777.5,111564.8671875,137451.546875,96753.796875
131433,114266.171875,149087.21875,89778.65625,111576.3359375,137456.625,96760.3515625
131453,114269.7890625,149088.625,89776.7109375,111571.359375,137447,96754.5546875
131473,114274.1171875,149079.375,89786.4375,111573.5,137445.25,96759.09375
131493,114266.9140625,149079.828125,89780.234375,111577.78125,137449.796875,96762.3671875
131513,114269.078125,149086.3125,89772.8203125,111572.046875,137454.34375,96758.3359375
131533,114268.3359375,149080.28125,89778.65625,111561.3359375,137453.828125,96763.125
131553,114272.65625,149090.9375,89779.4453125,111560.640625,137456.109375,96756.3203125
131573,114269.078125,149088.625,89777.5,111564.9296875,137445.25,96757.078125
131593,114278.4375,149088.625,89772.8203125,111564.9296875,137454.34375,96757.828125
131613,114282.0546875,149090.484375,89779.4453125,111563.4765625,137449.796875,96753.0390625
131633,114272.65625,149093.25,89778.2890625,111570.6640625,137451.546875,96757.078125
131653,114274.8203125,149093.25,89775.5546875,111568.4609375,137454.34375,96765.140625
131673,114273.40625,149093.25,89768.140625,111577.09375,137453.828125,96754.5546875
131693,114272.65625,149093.6875,89772.8203125,111576.3359375,137453.828125,96760.6015625
131713,114269.0390625,149089.078125,89774.3984375,111563.4765625,137456.625,96757.828125
131733,114271.203125,149090.484375,89772.03125,111576.3359375,137451.546875,96759.84375
131753,114276.984375,149095.109375,89772.453125,111569.2109375,137451.546875,96757.078125
131773,114278.4375,149093.6875,89763.8828125,111561.3359375,137453.828125,96760.3515625
131793,114276.984375,149093.6875,89761.9375,111569.90625,137452.59375,96757.078125
131813,114286.3828125,149091.390625,89758.828125,111560.640625,137454.875,96760.6015625
131833,114272.65625,149093.6875,89763.8828125,111564.8671875,137456.625,96757.828125
131853,114271.203125,149097.859375,89763.8828125,111566.3125,137454.875,96757.078125
131873,114273.3671875,149091.390625,89758.828125,111572.7421875,137448.046875,96763.125
131893,114271.203125,149100.171875,89756.09375,111576.3359375,137454.34375,96760.6015625
131913,114282.765625,149091.828125,89759.984375,111577.03125,137454.34375,96757.3203125
131933,114275.53125,149091.390625,89751.4140625,111574.8828125,137454.34375,96756.5703125
131953,114277.6953125,149093.6875,89761.9375,111572.046875,137452.59375,96758.5859375
131973,114277.6953125,149086.765625,89743.265625,111569.90625,137456.109375,96762.6171875
131993,114287.09375,149094.140625,89746.3671875,111562.7265625,137452.59375,96765.140625
132013,114287.0546875,149094.140625,89741.3203125,111555.6015625,137458.375,96762.6171875
132033,114298.6171875,149093.25,89737.4296875,111584.90625,137452.078125,96757.828125
132053,114297.1640625,149096.453125,89734.328125,111593.4765625,137443.5,96759.84375
132073,114308.6953125,149100.171875,89736.2734375,111608.4765625,137458.375,96759.84375
132093,114311.6015625,149089.515625,89735.8515625,111624.171875,137450.84375,96759.84375
132113,114305.109375,149089.515625,89728.859375,111622.0234375,137448.578125,96756.5703125
132133,114300.78125,149091.390625,89734.6953125,111607.0234375,137455.390625,96755.8125
132153,114292.8359375,149091.828125,89731.59375,111587.7421875,137446.8125,96762.6171875
132173,114295,149091.390625,89735.484375,111566.3125,137450.84375,96756.5703125
132193,114292.8359375,149095.5625,89725.390625,111569.90625,137457.671875,96758.5859375
132213,114283.4375,149091.828125,89726.9140625,111568.4609375,137450.328125,96760.6015625
132233,114242.375,149123.28125,89781.390625,111522.7734375,137448.578125,96759.84375
132253,114279.859375,149096.453125,89688.8046875,111505.640625,137453.125,96742.453125
132273,114319.5078125,149082.59375,89688.8046875,111405.671875,137473.0625,96777.9921875
132293,114252.4453125,149068.734375,89777.1328125,111799.9375,137455.921875,96762.6171875
132313,114247.40625,149084.453125,89751.8359375,111738.5234375,137454.34375,96800.9296875
132333,114245.953125,149085.359375,89747.9453125,111564.171875,137455.390625,96784.0390625
132353,114319.5078125,149067.765625,89737.0625,111597.7578125,137450.84375,96762.6171875
132373,114293.546875,149071.03125,89739.375,111524.9140625,137453.640625,96792.8671875
132393,114262.5546875,149098.765625,89699.3203125,111531.28125,137455.921875,96750.5234375
132413,114302.9453125,149114.9375,89723.453125,111582.765625,137452.59375,96721.5390625
132433,114324.546875,149108,89721.5078125,111615.59375,137449.09375,96738.421875
132453,114349.8046875,149129.703125,89684.9140625,111569.84375,137438.25,96704.90625
132473,114333.9453125,149099.671875,89726.9140625,111578.4140625,137450.140625,96745.2265625
132493,114339.6953125,149108.90625,89707.46875,111599.1484375,137451.375,96741.1953125
132513,114291.3828125,149078.421875,89729.6484375,111629.84375,137450.84375,96771.9453125
132533,114260.390625,149090.9375,89730.4375,111580.6171875,137443.3125,96783.5390625
132553,114239.46875,149070.078125,89756.5234375,111541.9921875,137440.515625,96784.0390625
132573,114258.2265625,149067.3125,89727.703125,111575.578125,137449.09375,96795.6328125
132593,114232.9765625,149089.515625,89724.6015625,111564.171875,137446.8125,96752.5390625
132613,114279.859375,149092.734375,89716.828125,111529.8984375,137445.78125,96759.34375
132633,114318.765625,149120.015625,89687.6484375,111590.578125,137442.796875,96722.296875
132653,114323.8359375,149113.53125,89679.0859375,111596.3125,137453.125,96728.34375
132673,114382.265625,149118.59375,89691.5390625,111619.125,137458.1875,96718.265625
132693,114356.296875,149115.390625,89681.8203125,111610.5546875,137447.34375,96730.359375
132713,114306.53125,149099.21875,89704,111585.5390625,137449.09375,96749.2578125
132733,114289.9296875,149085.359375,89709.8359375,111624.859375,137451.375,96743.2109375
132753,114276.953125,149069.625,89718.0390625,111566.3125,137455.921875,96792.8671875
132773,114248.1171875,149083.046875,89726.546875,111563.421875,137449.09375,96770.6796875
132793,114248.1171875,149066.875,89733.171875,111564.109375,137443.3125,96781.5234375
132813,114252.4453125,149087.65625,89703.2109375,111552.703125,137450.328125,96765.390625
132833,114258.9375,149096.90625,89695.0625,111588.4375,137451.375,96729.1015625
132853,114309.3984375,149103.84375,89680.6640625,111590.578125,137450.140625,96723.0546875
132873,114350.515625,149116.28125,89667.046875,111616.2890625,137440,96721.0390625
132893,114347.640625,149111.21875,89672.8828125,111627.0078125,137445.0625,96712.46875
132913,114364.953125,149104.28125,89665.109375,111607.71875,137444.546875,96732.625
132933,114315.1875,149103.84375,89681.8203125,111624.859375,137453.125,96740.4375
132953,114292.09375,149080.734375,89699.3203125,111579.8671875,137442.796875,96764.8828125
132973,114271.203125,149081.1875,89710.625,111587.7421875,137441.046875,96760.09375
132993,114254.609375,149078.421875,89716.4609375,111554.8515625,137449.609375,96781.5234375
133013,114256.7734375,149083.484375,89700.8984375,111550.5625,137449.09375,96761.859375
133033,114252.4453125,149081.625,89695.4296875,111571.296875,137445.0625,96753.2890625
133053,114296.421875,149105.703125,89677.9296875,111564.171875,137453.640625,96742.453125
133073,114304.3671875,149113.53125,89667.84375,111614.84375,137455.390625,96710.453125
133093,114348.3515625,149104.28125,89651.4921875,111598.390625,137449.609375,96717
133113,114354.84375,149109.359375,89660.4296875,111636.2734375,137451.375,96708.9375
133133,114346.890625,149108.453125,89658.1171875,111616.984375,137446.8125,96727.0859375
133153,114330.328125,149106.59375,89661.21875,111589.1328125,137451.890625,96750.015625
133173,114284.1484375,149084.390625,89684.5546875,111597.703125,137449.609375,96746.734375
133193,114279.1171875,149083.484375,89688.4375,111561.96875,137449.609375,96770.1796875
133213,114261.8046875,149072.84375,89697.0078125,111551.2578125,137446.296875,96756.0625
133233,114250.28125,149077.015625,89694.2734375,111566.3125,137447.34375,96744.71875
133253,114264.6796875,149090.421875,89677.9296875,111554.15625,137451.375,96734.640625
133273,114279.8203125,149103.84375,89667.84375,111606.9609375,137443.84375,96712.46875
133293,114328.875,149107.046875,89653.078125,111608.4140625,137449.609375,96719.7734375
133313,114357.75,149115.390625,89649.1875,111630.5390625,137446.8125,96705.6640625
133333,114341.859375,149104.28125,89644.875,111623.4140625,137447.34375,96714.984375
133353,114354.84375,149101.96875,89643.71875,111624.171875,137442.796875,96717
133373,114306.53125,149089.96875,89663.1640625,111607.65625,137445.0625,96737.1640625
133393,114288.4765625,149088.109375,89672.8828125,111579.8671875,137447.34375,96743.96875
133413,114276.953125,149083.9375,89677.5625,111576.2734375,137452.40625,96748
133433,114274.078125,149081.625,89687.2890625,111552.015625,137450.140625,96761.359375
133453,114256.0234375,149082.078125,89685.34375,111573.4375,137445.59375,96738.671875
133473,114267.5859375,149088.5625,89672.8828125,111570.5390625,137451.375,96731.8671875
133493,114305.078125,149093.1875,89647.609375,111586.2890625,137448.390625,96716.5
133513,114318.0546875,149108.453125,89641.7734375,111629.84375,137447.859375,96701.125
133533,114358.4609375,149113.53125,89632.84375,111621.2734375,137443.3125,96710.453125
133553,114352.6796875,149115.84375,89635.578125,111631.984375,137450.140625,96706.421875
133573,114349.8046875,149104.734375,89635.1484375,111616.2265625,137443.3125,96723.8046875
133593,114321.671875,149089.015625,89639.828125,111593.4140625,137454.6875,96737.921875
133613,114289.21875,149088.5625,89663.953125,111585.5390625,137458.1875,96738.671875
133633,114285.6015625,149083.9375,89668.9921875,111559.1328125,137454.15625,96749.5078125
133653,114272.625,149086.703125,89671.7265625,111568.3984375,137443.84375,96741.4453125
133673,114262.515625,149097.359375,89667.84375,111547.6640625,137454.6875,96743.2109375
133693,114271.8828125,149090.875,89646.453125,111574.828125,137448.390625,96727.0859375
133713,114296.421875,149110.765625,89639.828125,111597.703125,137453.640625,96717
133733,114335.3671875,149099.671875,89631.6875,111615.5390625,137443.84375,96703.6484375
133753,114348.3515625,149108.90625,89627.0078125,111639.109375,137455.921875,96704.90625
133773,114367.8203125,149107.046875,89623.125,111621.2734375,137443.84375,96712.96875
133793,114340.40625,149098.703125,89628.953125,111625.5546875,137450.140625,96713.7265625
133813,114323.09375,149097.359375,89632.84375,111595.4921875,137448.390625,96735.1484375
133833,114297.1328125,149084.390625,89645.296875,111568.3984375,137448.90625,96734.640625
133853,114290.640625,149085.796875,89658.1171875,111570.5390625,137446.109375,96733.8828125
133873,114281.2734375,149082.078125,89662.375,111555.546875,137449.609375,96740.6875
133893,114274.0390625,149089.015625,89655.015625,111569.09375,137452.40625,96724.5625
133913,114277.65625,149101.96875,89647.609375,111585.5390625,137452.9375,96707.9296875
133933,114301.4609375,149098.25,89627.0078125,111599.78125,137454.6875,96705.6640625
133953,114334.6171875,149109.8125,89626.21875,111631.2265625,137448.390625,96693.5703125
133973,114355.546875,149109.359375,89618.4453125,111621.2734375,137452.40625,96700.375
133993,114357.7109375,149100.109375,89617.2890625,111640.5546875,137447.859375,96696.34375
134013,114339.6953125,149100.5625,89619.234375,111609.859375,137452.40625,96712.46875
134033,114320.9296875,149094.078125,89625.0703125,111593.4140625,137452.9375,96715.2421875
134053,114300.75,149086.703125,89643.71875,111580.5,137445.59375,96732.625
134073,114294.2578125,149090.421875,89647.2421875,111556.234375,137455.203125,96735.8984375
134093,114278.3671875,149086.703125,89650.34375,111570.6015625,137452.9375,96724.5625
